CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
79.35,0,0.35,0.0,0.65,0.0,0,0,80.35,80.35,35,0,2.87,0.0,0,0.0,83.89,0.0,0.11,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0,0,31380324,23848276,27328256,16379900,252,0,0.78,23.451,0.051,-1,-1,1,0.78,0,0,0,40540,3929,0,81,17,0.0,3799.0,17,944,0.08,0.17,0,cpustress
79.98,0,0.15,0.0,0.65,0.0,0,0,80.78,80.7,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380324,23841976,27324800,16379900,252,0,0.769,14.297,0.031,-1,-1,1,0.769,0,0,0,39842,5750,0,81,16,0.0,5608.0,16,944,1.35,0.43,0,cpustress
79.88,0,0.15,0.0,0.75,0.0,0,0,80.78,80.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.19,3,3,0.0,0,0,31380324,23843124,27325964,16379900,252,0,0.789,34.728,0.068,-1,-1,1,0.789,0,0,0,40254,2501,0,81,19,28.0,2564.0,16,945,1.35,0.43,0,cpustress
79.64,0,0.05,0.0,0.7,0.0,0,0,80.39,80.3,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,1.35,10,11,0.04,0,0,31380324,23841240,27324092,16379900,252,0,0.822,34.461,0.016,-1,-1,1,0.822,0,0,0,39475,2197,0,81,16,20.0,2129.0,16,943,1.35,0.43,0,cpustress
79.82,0,0.05,0.0,0.45,0.0,0,0,80.32,89.17,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380324,23839312,27322164,16379900,252,0,0.765,39.245,0.014,-1,-1,1,0.765,0,0,0,39214,1694,0,81,16,1.0,1679.0,16,943,1.35,0.43,0,cpustress
79.77,0,0.05,0.05,0.55,0.0,0,0,80.37,80.35,9,0,0.04,0.0,0,0.0,4.0,0.0,1.0,0.0,1.1,0.01,0.0,0.17,0,1,0.0,0,0,31380324,23844756,27327612,16379900,252,0,0.766,37.823,0.016,-1,-1,1,0.766,0,0,0,39823,1839,0,81,16,0.0,1786.0,18,945,2.77,0.74,0,cpustress
79.5,0,0.2,0.0,1.1,0.0,0,0,80.8,80.7,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,3,4,0.01,0,0,31380324,23854160,27337044,16379900,252,0,0.763,35.44,0.052,-1,-1,1,0.763,0,0,0,39461,2439,0,80,16,6.0,2333.0,16,943,2.77,0.74,0,cpustress
79.6,0,0.05,0.0,0.6,0.05,0,0,80.3,80.25,0,1,0.0,0.02,0,50.0,0.0,24.0,0.0,9.0,0.9,0.01,0.05,0.06,1,1,0.0,0,0,31380324,23844968,27327852,16379900,260,0,0.76,32.912,0.012,-1,-1,1,0.76,0,0,0,39869,1563,0,81,16,2.0,1566.0,16,943,2.77,0.74,0,cpustress
79.66,0,0.05,0.05,0.65,0.0,0,0,80.36,80.35,0,23,0.0,0.2,0,4.17,0.0,9.04,0.0,7.22,1.8,0.15,0.05,0.06,1,1,0.0,0,0,31380324,23848000,27330880,16379900,236,0,0.759,39.272,0.02,-1,-1,1,0.759,0,0,208,39544,1626,0,81,16,1.0,1608.0,16,943,3.83,0.99,0,cpustress
79.57,0,0.1,0.0,0.75,0.0,0,0,80.42,80.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,4,3,0.0,0,0,31380324,23853320,27336212,16379900,236,0,0.76,33.187,0.039,-1,-1,1,0.76,0,0,0,40186,1784,0,81,18,6.0,1777.0,18,948,3.83,0.99,0,cpustress
